zone,FGA,FGM,FG_PCT,FREQ,PPS,TEAM_ID,TEAM_NAME,SEASON,W_PCT,GP
Corner 3,438,177,0.4041095890410959,0.06294912331129635,1.2123287671232876,1610612745,Houston Rockets,2010-11,0.524,82
Long mid (10–22),1775,713,0.40169014084507043,0.25510204081632654,0.8033802816901409,1610612745,Houston Rockets,2010-11,0.524,82
Rim (0–3),2117,1296,0.6121870571563534,0.304254096004599,1.83656117146906,1610612745,Houston Rockets,2010-11,0.524,82
Short mid (3–10),1240,484,0.3903225806451613,0.1782121299223915,1.1709677419354838,1610612745,Houston Rockets,2010-11,0.524,82
Above-break 3,1088,378,0.3474264705882353,0.16555082166768106,1.0422794117647058,1610612746,Los Angeles Clippers,2010-11,0.39,82
Corner 3,410,132,0.32195121951219513,0.06238587948874011,0.9658536585365853,1610612746,Los Angeles Clippers,2010-11,0.39,82
Long mid (10–22),1666,620,0.37214885954381755,0.2534996956786366,0.7442977190876351,1610612746,Los Angeles Clippers,2010-11,0.39,82
Rim (0–3),2453,1544,0.6294333469221361,0.3732501521606817,1.8883000407664086,1610612746,Los Angeles Clippers,2010-11,0.39,82
Short mid (3–10),955,338,0.3539267015706806,0.1453134510042605,1.0617801047120419,1610612746,Los Angeles Clippers,2010-11,0.39,82
Above-break 3,1023,340,0.33235581622678395,0.1519382147631071,0.9970674486803519,1610612747,Los Angeles Lakers,2010-11,0.695,82
Corner 3,440,181,0.4113636363636364,0.0653497697905837,1.2340909090909091,1610612747,Los Angeles Lakers,2010-11,0.695,82
Long mid (10–22),2009,801,0.3987058237929318,0.2983811079756424,0.7974116475858636,1610612747,Los Angeles Lakers,2010-11,0.695,82
Rim (0–3),2079,1325,0.6373256373256373,0.30877766226050796,1.9119769119769119,1610612747,Los Angeles Lakers,2010-11,0.695,82
Short mid (3–10),1182,478,0.40439932318104904,0.17555324521015891,1.2131979695431472,1610612747,Los Angeles Lakers,2010-11,0.695,82
Above-break 3,970,330,0.3402061855670103,0.15426208651399492,1.0206185567010309,1610612748,Miami Heat,2010-11,0.707,82
Corner 3,497,215,0.43259557344064387,0.07903944020356234,1.2977867203219315,1610612748,Miami Heat,2010-11,0.707,82
Long mid (10–22),2233,954,0.4272279444693238,0.3551208651399491,0.8544558889386475,1610612748,Miami Heat,2010-11,0.707,82
Rim (0–3),1792,1208,0.6741071428571429,0.28498727735368956,2.022321428571429,1610612748,Miami Heat,2010-11,0.707,82
Short mid (3–10),796,322,0.4045226130653266,0.12659033078880408,1.2135678391959799,1610612748,Miami Heat,2010-11,0.707,82
Above-break 3,965,312,0.3233160621761658,0.14773423147581138,0.9699481865284975,1610612749,Milwaukee Bucks,2010-11,0.427,82
Corner 3,438,172,0.3926940639269406,0.0670545009185548,1.1780821917808217,1610612749,Milwaukee Bucks,2010-11,0.427,82
Long mid (10–22),2188,870,0.3976234003656307,0.33496631965707285,0.7952468007312614,1610612749,Milwaukee Bucks,2010-11,0.427,82
Rim (0–3),1939,1094,0.5642083548220732,0.296846295162278,1.6926250644662195,1610612749,Milwaukee Bucks,2010-11,0.427,82
Short mid (3–10),1002,366,0.3652694610778443,0.15339865278628292,1.0958083832335328,1610612749,Milwaukee Bucks,2010-11,0.427,82
Above-break 3,1213,438,0.36108821104699096,0.17360812938314013,1.0832646331409728,1610612750,Minnesota Timberwolves,2010-11,0.207,82
Corner 3,327,150,0.45871559633027525,0.04680120223271791,1.3761467889908259,1610612750,Minnesota Timberwolves,2010-11,0.207,82
Long mid (10–22),2011,802,0.39880656389855795,0.2878202375840847,0.7976131277971159,1610612750,Minnesota Timberwolves,2010-11,0.207,82
Rim (0–3),1979,1162,0.5871652349671551,0.28324030342063833,1.7614957049014652,1610612750,Minnesota Timberwolves,2010-11,0.207,82
Short mid (3–10),1457,537,0.3685655456417296,0.20853012737941892,1.1056966369251888,1610612750,Minnesota Timberwolves,2010-11,0.207,82
Above-break 3,953,329,0.34522560335781743,0.14395770392749244,1.0356768100734524,1610612751,Brooklyn Nets,2010-11,0.293,82
Corner 3,366,129,0.3524590163934426,0.05528700906344411,1.0573770491803278,1610612751,Brooklyn Nets,2010-11,0.293,82
Long mid (10–22),2200,869,0.395,0.3323262839879154,0.79,1610612751,Brooklyn Nets,2010-11,0.293,82
Rim (0–3),1869,1090,0.5831995719636169,0.2823262839879154,1.7495987158908508,1610612751,Brooklyn Nets,2010-11,0.293,82
Short mid (3–10),1232,500,0.40584415584415584,0.18610271903323264,1.2175324675324675,1610612751,Brooklyn Nets,2010-11,0.293,82
Above-break 3,1490,521,0.3496644295302013,0.21742302641179045,1.048993288590604,1610612752,New York Knicks,2010-11,0.512,82
Corner 3,578,244,0.42214532871972316,0.08434262366846637,1.2664359861591694,1610612752,New York Knicks,2010-11,0.512,82
Long mid (10–22),1742,704,0.4041331802525832,0.2541952429592879,0.8082663605051664,1610612752,New York Knicks,2010-11,0.512,82
Rim (0–3),2115,1321,0.6245862884160757,0.3086239603093536,1.8737588652482269,1610612752,New York Knicks,2010-11,0.512,82
Short mid (3–10),928,350,0.3771551724137931,0.13541514665110171,1.1314655172413792,1610612752,New York Knicks,2010-11,0.512,82
Above-break 3,1553,572,0.3683193818415969,0.24299796588953215,1.1049581455247908,1610612753,Orlando Magic,2010-11,0.634,82
Corner 3,530,197,0.37169811320754714,0.08292911907369739,1.1150943396226414,1610612753,Orlando Magic,2010-11,0.634,82
Long mid (10–22),1593,655,0.41117388575015695,0.2492567673290565,0.8223477715003139,1610612753,Orlando Magic,2010-11,0.634,82
Rim (0–3),1854,1192,0.6429341963322546,0.29009544672195275,1.9288025889967637,1610612753,Orlando Magic,2010-11,0.634,82
Short mid (3–10),861,339,0.39372822299651566,0.13472070098576122,1.1811846689895469,1610612753,Orlando Magic,2010-11,0.634,82
Above-break 3,1291,448,0.3470178156467854,0.19055350553505535,1.0410534469403563,1610612754,Indiana Pacers,2010-11,0.451,82
Corner 3,350,137,0.3914285714285714,0.05166051660516605,1.1742857142857142,1610612754,Indiana Pacers,2010-11,0.451,82
Long mid (10–22),2132,843,0.3954033771106942,0.31468634686346864,0.7908067542213884,1610612754,Indiana Pacers,2010-11,0.451,82
Rim (0–3),1997,1199,0.600400600901352,0.294760147601476,1.8012018027040562,1610612754,Indiana Pacers,2010-11,0.451,82
Short mid (3–10),1005,376,0.37412935323383084,0.14833948339483394,1.1223880597014926,1610612754,Indiana Pacers,2010-11,0.451,82
Above-break 3,916,315,0.34388646288209607,0.13550295857988165,1.0316593886462881,1610612755,Philadelphia 76ers,2010-11,0.5,82
Corner 3,317,128,0.4037854889589905,0.046893491124260354,1.2113564668769716,1610612755,Philadelphia 76ers,2010-11,0.5,82
Long mid (10–22),2448,1008,0.4117647058823529,0.3621301775147929,0.8235294117647058,1610612755,Philadelphia 76ers,2010-11,0.5,82
Rim (0–3),1975,1256,0.6359493670886076,0.2921597633136095,1.9078481012658228,1610612755,Philadelphia 76ers,2010-11,0.5,82
Short mid (3–10),1104,418,0.3786231884057971,0.16331360946745563,1.1358695652173914,1610612755,Philadelphia 76ers,2010-11,0.5,82
Above-break 3,1342,499,0.37183308494783907,0.19651486308390687,1.1154992548435172,1610612756,Phoenix Suns,2010-11,0.488,82
Corner 3,500,202,0.404,0.0732171621027969,1.2120000000000002,1610612756,Phoenix Suns,2010-11,0.488,82
Long mid (10–22),2014,810,0.40218470705064546,0.2949187289500659,0.8043694141012909,1610612756,Phoenix Suns,2010-11,0.488,82
Rim (0–3),1939,1290,0.6652913873130479,0.2839361546346464,1.9958741619391438,1610612756,Phoenix Suns,2010-11,0.488,82
Short mid (3–10),1034,418,0.40425531914893614,0.15141309122858398,1.2127659574468084,1610612756,Phoenix Suns,2010-11,0.488,82
Above-break 3,988,325,0.32894736842105265,0.1502661596958175,0.986842105263158,1610612757,Portland Trail Blazers,2010-11,0.585,82
